"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL4069145";"";"0";"423.52";"0";"3.13";"16a";"COc1ccccc1N1CCN(CCCCOc2ccc3c(/C=N/O)cnn3c2)CC1";"EC50";"'='";"6.8";"nM";"8.17";"";"";"UO_0000065";"19.28";"0.36";"5.04";"10.91";"False";"CHEMBL4010168";"Agonist activity at N-terminal flag-tagged D2S receptor (unknown origin) expressed in HEK293 cells coexpressing renilla luciferase 2-tagged Galphai1 after 10 mins by BRET assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007455";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL3394274";"";"0";"245.33";"0";"0.63";"39a";"O=C1Cc2c(CCN3CCNCC3)cccc2N1";"EC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3396204";"Agonist activity at human dopamine D2L receptor expressed in CHO cell membranes incubated for 1 hr by [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3392981";"1";"Scientific Literature";"J. Med. Chem.";"2015";"CHEMBL3308072";""
"CHEMBL3394264";"";"0";"447.50";"0";"1.83";"32a";"CN(CCCNc1nc(N)n2nc(-c3ccco3)nc2n1)CCc1cccc2c1CC(=O)N2";"EC50";"'='";"389.05";"nM";"6.41";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3396204";"Agonist activity at human dopamine D2L receptor expressed in CHO cell membranes incubated for 1 hr by [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3392981";"1";"Scientific Literature";"J. Med. Chem.";"2015";"CHEMBL3308072";""
"CHEMBL3287395";"";"0";"491.42";"0";"4.80";"6f";"CCOC(=O)c1cc2cc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)ccn2n1";"EC50";"'='";"440.0";"nM";"6.36";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3293227";"Agonist activity at human dopamine D2 short receptor transiently expressed in HEK293 cells co-expressing Galphai2 after 30 mins by [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286313";"1";"Scientific Literature";"J. Med. Chem.";"2014";"CHEMBL3307715";""
"CHEMBL59";"DOPAMINE";"4";"153.18";"0";"0.60";"Dopamine";"NCCc1ccc(O)c(O)c1";"EC50";"'='";"470.0";"nM";"6.33";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3293227";"Agonist activity at human dopamine D2 short receptor transiently expressed in HEK293 cells co-expressing Galphai2 after 30 mins by [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286313";"1";"Scientific Literature";"J. Med. Chem.";"2014";"CHEMBL3307715";""
"CHEMBL3394261";"";"0";"535.96";"2";"2.48";"23";"Nc1nc(NCCc2ccc(Oc3nc(Cl)nc(N4CCOCC4)n3)cc2)nc2nc(-c3ccco3)nn12";"EC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3396204";"Agonist activity at human dopamine D2L receptor expressed in CHO cell membranes incubated for 1 hr by [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3392981";"1";"Scientific Literature";"J. Med. Chem.";"2015";"CHEMBL3308072";""
"CHEMBL59";"DOPAMINE";"4";"153.18";"0";"0.60";"Dopamine";"NCCc1ccc(O)c(O)c1";"EC50";"'='";"467.74";"nM";"6.33";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3293227";"Agonist activity at human dopamine D2 short receptor transiently expressed in HEK293 cells co-expressing Galphai2 after 30 mins by [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286313";"1";"Scientific Literature";"J. Med. Chem.";"2014";"CHEMBL3307715";""
"CHEMBL246020";"";"0";"338.88";"1";"5.38";"18";"CC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1";"EC50";"'='";"314.0";"nM";"6.50";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL902499";"Antagonist activity at human dopamine D2 receptor expressed in CHO cells assessed as inhibition of quinpirole stimulated mitogenesis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138415";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3308072";""
"CHEMBL4097330";"";"0";"393.53";"0";"4.47";"(S)-13a";"CCCN(CCCCOc1ccc2ccnn2c1)[C@H]1CCc2c(O)cccc2C1";"EC50";"'='";"15.9";"nM";"7.80";"";"";"UO_0000065";"19.82";"0.37";"3.33";"15.60";"False";"CHEMBL4010179";"Agonist activity at N-terminal flag-tagged D2S receptor (unknown origin) expressed in HEK293 cells assessed as induction of renilla luciferase 2-tagged beta-arrestin-2 recruitment after 15 mins by BRET assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007455";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL301265";"PRAMIPEXOLE";"4";"211.33";"0";"1.58";"Pramipexole";"CCCN[C@H]1CCc2nc(N)sc2C1";"EC50";"'='";"9.6";"nM";"8.02";"";"";"UO_0000065";"37.94";"0.78";"6.44";"15.74";"False";"CHEMBL4015821";"Partial agonist activity at human D2SR expressed in HEK293T cells co-expressing (EA)beta-arrestin2 and GRK2 assessed as induction of beta-arrestin2 recruitment after 5 hrs by chemiluminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4014323";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3706569";""
